Name,DataType,Address,Comment [en-GB],Acquisition mode,Acquisition cycle
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP13R4_3PI01b,Real,%DB42.DBD136,CP13 RACK 4 FILTER 2 INLET PRESSURE (4..20mA = 0 - +50mBar),Cyclic in operation,1 s
DB SAFETY.RECV.CP7_ESPB_OK,Bool,%DB44.DBX2.5,BOILER PANEL CP7 EM STOP P/BUTTON HEALTHY (1=HEALTHY),Cyclic in operation,1 s
DB MV TURB POWER METER.M6_PAC3200.PF3,Real,%DB202.DBD80,POWER FACTOR PHASE 3,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S2522,Bool,%DB45.DBX20.7,CP13 RACK 4 RESIDUE SILO SLEWING RING EXTENDED PROXIMITY,Cyclic in operation,1 s
RecircFanPID_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP19_2LT01,Real,%DB42.DBD332,CP19 DP CELL WATER LEVEL (4-20mA = 140-1100 mm),Cyclic in operation,1 s
IDB CP13 FILT SEAL A DP.Status,Int,%DB549.DBW2,Motor Status,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S237,Bool,%DB45.DBX22.4,CP13 RACK 4 FILTER 1 HOPPER LEVEL PROBE,Cyclic in operation,1 s
IDB CP13 FILTER SEAL A.Rem_Cmds.RunFwd,Bool,%DB128.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_3EM01.HYST,Real,%DB41.DBD2960,ALARM HISTERESYS,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_4PT02.HIHI,Real,%DB41.DBD1920,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK5.ALARM106,Bool,%DB400.DBX237.2,OIL PUMP ON,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2PT01.LOLO,Real,%DB41.DBD2700,LOW LOW ALARM SETPOINT,Cyclic in operation,1 s
DB LV GRID POWER METER.KW1,Real,%DB200.DBD128,ACTIVE POWER PHASE 1 (KW),Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.SOOTBLOWERS.SPRHEAT_2_RET,Bool,%DB1.DBX18.5,CP8 SUPERHEATER SOOTBLOWER 2 MANUAL RETRACT SELECT (SCADA),Cyclic in operation,1 s
DB SETPOINTS.PID.PRIM_FAN.OP_MIN,Real,%DB40.DBD1376,OUTPUT MIN VALUE (LMN_LLM),Cyclic in operation,1 s
IDB CP7 PLANT PUMP 2.Rem_Cmds.RemoteCtrl,Bool,%DB188.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.DAMPERS.CP13R4_S264,Bool,%DB45.DBX30.4,CP13 RACK 4 RECIRCULATION AIR DAMPER OPENED,Cyclic in operation,1 s
DB ALARMS.PROCESS.WORD6.CP3_CHEM_TANK_1_LVL_LO,Bool,%DB11.DBX114.5,CP3 LOW PRESSURE PUMP 1 CHEMICAL TANK LEVEL LOW ALARM,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_4PLT03.HI,Real,%DB41.DBD1988,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2PSZ02.HIHI,Real,%DB41.DBD2784,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK3.OP_HOURS,DInt,%DB400.DBD160,OPERATING HOURS,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.VALVES.CP8_2SW15,Bool,%DB45.DBX16.4,CP8 STEAM STOP VALVE 2CV06 OPEN FEEDBACK,Cyclic in operation,1 s
IDB ST HYD PUMP 2 PBUS.Recv.StatusWord,Word,%DB501.DBW20,Status Word,Cyclic in operation,1 s
DB ALARMS TO SCADA.PROCESS.WORD11,Int,%DB12.DBW124,PROCESS ALARMS - WORD 11,Continuous,1 s
DB PROCESS VALUES.MISCELLANEOUS.BURNER.SECOND_AIR_PID_SP,Real,%DB42.DBD1308,SECONDARY AIR FAN PID CONTROLLER SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.GRT_2_PID_FLOW_2,Real,%DB40.DBD492,GRATE PID AIR FLOW POINT 2,Cyclic in operation,1 s
1MTR03_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.GRT_1_SPD_MAX,Real,%DB40.DBD476,GRATE MAXIMUM SPEED,Cyclic in operation,1 s
DB ALARMS TO SCADA.COOLERS.COOLER1.WORD2,Int,%DB12.DBW132,COOLER 1 ALARMS - WORD 2,Continuous,1 s
IDB CP13 FILT DIS FAN DP.Load,Real,%DB551.DBD4,Motor Load in Percentage (%),Cyclic in operation,1 s
